point_id,latitude,longitude,date,precipitation_total
P01,14.3867,121.0276,2025-01-01,3.81
P01,14.3867,121.0276,2025-01-08,0.33
P01,14.3867,121.0276,2025-01-15,0.23
P01,14.3867,121.0276,2025-01-22,0.0
P01,14.3867,121.0276,2025-01-29,0.0
P01,14.3867,121.0276,2025-02-05,0.0
P01,14.3867,121.0276,2025-02-12,0.0
P01,14.3867,121.0276,2025-02-19,0.0
P01,14.3867,121.0276,2025-02-26,0.0
P01,14.3867,121.0276,2025-03-05,0.0
P01,14.3867,121.0276,2025-03-12,0.0
P01,14.3867,121.0276,2025-03-19,0.0
P01,14.3867,121.0276,2025-03-26,0.0
P01,14.3867,121.0276,2025-04-02,0.0
P01,14.3867,121.0276,2025-04-09,0.0
P01,14.3867,121.0276,2025-04-16,0.0
P01,14.3867,121.0276,2025-04-23,0.0
P01,14.3867,121.0276,2025-04-30,0.0
P01,14.3867,121.0276,2025-05-07,0.0
P01,14.3867,121.0276,2025-05-14,0.0
P01,14.3867,121.0276,2025-05-21,0.0
P01,14.3867,121.0276,2025-05-28,0.43
P01,14.3867,121.0276,2025-06-04,3.34
P01,14.3867,121.0276,2025-06-11,0.0
P01,14.3867,121.0276,2025-06-18,6.31
P01,14.3867,121.0276,2025-06-25,0.93
P02,14.3875,121.0485,2025-01-01,3.81
P02,14.3875,121.0485,2025-01-08,0.33
P02,14.3875,121.0485,2025-01-15,0.23
P02,14.3875,121.0485,2025-01-22,0.0
P02,14.3875,121.0485,2025-01-29,0.0
P02,14.3875,121.0485,2025-02-05,0.0
P02,14.3875,121.0485,2025-02-12,0.0
P02,14.3875,121.0485,2025-02-19,0.0
P02,14.3875,121.0485,2025-02-26,0.0
P02,14.3875,121.0485,2025-03-05,0.0
P02,14.3875,121.0485,2025-03-12,0.0
P02,14.3875,121.0485,2025-03-19,0.0
P02,14.3875,121.0485,2025-03-26,0.0
P02,14.3875,121.0485,2025-04-02,0.0
P02,14.3875,121.0485,2025-04-09,0.0
P02,14.3875,121.0485,2025-04-16,0.0
P02,14.3875,121.0485,2025-04-23,0.0
P02,14.3875,121.0485,2025-04-30,0.0
