point_id,latitude,longitude,timestamp,precipitation_total,source,SPI,SPI_norm,SPI_class
P79,14.574987651023136,121.0537909861958,2025-10-19T06:00:00,11.4,synthetic,0.4967124079812969,0.5827854013302162,normal
P79,14.574987651023136,121.0537909861958,2025-10-19T07:00:00,3.03,synthetic,-0.13856313116676366,0.4769061448055394,normal
P79,14.574987651023136,121.0537909861958,2025-10-19T08:00:00,0.0,synthetic,-0.36853743028487873,0.43857709495252023,normal
P79,14.574987651023136,121.0537909861958,2025-10-19T09:00:00,1.77,synthetic,-0.234196008027762,0.46096733199537304,normal
P79,14.574987651023136,121.0537909861958,2025-10-19T10:00:00,0.0,synthetic,-0.36853743028487873,0.43857709495252023,normal
P79,14.574987651023136,121.0537909861958,2025-10-19T11:00:00,14.97,synthetic,0.7676722257541256,0.6279453709590209,wet
P79,14.574987651023136,121.0537909861958,2025-10-19T12:00:00,0.0,synthetic,-0.36853743028487873,0.43857709495252023,normal
P79,14.574987651023136,121.0537909861958,2025-10-19T13:00:00,0.0,synthetic,-0.36853743028487873,0.43857709495252023,normal
P79,14.574987651023136,121.0537909861958,2025-10-19T14:00:00,8.04,synthetic,0.2416914030186345,0.5402819005031058,normal
P79,14.574987651023136,121.0537909861958,2025-10-19T15:00:00,0.0,synthetic,-0.36853743028487873,0.43857709495252023,normal
P79,14.574987651023136,121.0537909861958,2025-10-19T16:00:00,0.0,synthetic,-0.36853743028487873,0.43857709495252023,normal
P79,14.574987651023136,121.0537909861958,2025-10-19T17:00:00,9.0,synthetic,0.31455454729368093,0.5524257578822801,normal
P79,14.574987651023136,121.0537909861958,2025-10-19T18:00:00,0.0,synthetic,-0.36853743028487873,0.43857709495252023,normal
P79,14.574987651023136,121.0537909861958,2025-10-19T19:00:00,1.88,synthetic,-0.2258471060795796,0.46235881565340337,normal
P79,14.574987651023136,121.0537909861958,2025-10-19T20:00:00,0.0,synthetic,-0.36853743028487873,0.43857709495252023,normal
P79,14.574987651023136,121.0537909861958,2025-10-19T21:00:00,0.0,synthetic,-0.36853743028487873,0.43857709495252023,normal
P79,14.574987651023136,121.0537909861958,2025-10-19T22:00:00,0.0,synthetic,-0.36853743028487873,0.43857709495252023,normal
P79,14.574987651023136,121.0537909861958,2025-10-19T23:00:00,1.01,synthetic,-0.2918793305788404,0.4513534449035266,normal
P79,14.574987651023136,121.0537909861958,2025-10-20T00:00:00,0.0,synthetic,-0.36853743028487873,0.43857709495252023,normal
P79,14.574987651023136,121.0537909861958,2025-10-20T01:00:00,0.0,synthetic,-0.36853743028487873,0.43857709495252023,normal
P79,14.574987651023136,121.0537909861958,2025-10-20T02:00:00,15.69,synthetic,0.8223195839604104,0.6370532639934018,wet
P79,14.574987651023136,121.0537909861958,2025-10-20T03:00:00,0.0,synthetic,-0.36853743028487873,0.43857709495252023,normal
P79,14.574987651023136,121.0537909861958,2025-10-20T04:00:00,0.0,synthetic,-0.36853743028487873,0.43857709495252023,normal
P79,14.574987651023136,121.0537909861958,2025-10-20T05:00:00,7.45,synthetic,0.196910928932929,0.5328184881554882,normal
P79,14.574987651023136,121.0537909861958,2025-10-20T06:00:00,0.0,synthetic,-0.36853743028487873,0.43857709495252023,normal
P79,14.574987651023136,121.0537909861958,2025-10-20T07:00:00,0.0,synthetic,-0.36853743028487873,0.43857709495252023,normal
P79,14.574987651023136,121.0537909861958,2025-10-20T08:00:00,3.33,synthetic,-0.11579339858081165,0.4807011002365314,normal
P79,14.574987651023136,121.0537909861958,2025-10-20T09:00:00,0.89,synthetic,-0.30098722361322117,0.4498354627311298,normal
P79,14.574987651023136,121.0537909861958,2025-10-20T10:00:00,0.0,synthetic,-0.36853743028487873,0.43857709495252023,normal
P79,14.574987651023136,121.0537909861958,2025-10-20T11:00:00,18.78,synthetic,1.0568478295957158,0.6761413049326194,wet
P79,14.574987651023136,121.0537909861958,2025-10-20T12:00:00,0.0,synthetic,-0.36853743028487873,0.43857709495252023,normal
